Company_Name,Job_Description,Job_Location_City,Job_Location_Region,Title
Genworth,"POSITION TITLE IT Development Program Analyst LOCATION Richmond, VA, Lynchburg, VA, Raleigh, NC YOUR ROLE Creativity and innovation drive your work in our business to maintain the central nervous system of our company. At Genworth, our products and our business rely on the strong technical and analytical skills that our Information Technology Development Program helps to cultivate and grow. In this development program, you will work alongside other energetic and talented technologists in our industry-leading company. The program runs approximately 24 months and includes four, six-month rotational assignments that are coupled with intense training opportunities that include two IT Boot Camps. Participants will receive on-the-job training and formal coursework in advanced information technology and systems. Our projects consist of developing and strengthening skills in product introduction, web development, data science, and innovative IT solutions. You can expect to learn new methods for solving the complex business problems from comprehensive courses. By working with our highly skilled Genworth employees, you will develop valuable resources for your entire career that help to strengthen your leadership skills. YOUR RESPONSIBILITIES Working in a fast-paced, innovative, and change-oriented work environment Assignments will typically focus on core IT processes in Application Development, Programming Languages, Web Development, System Integration, Data Science and/or project management Building a strong network of peers and mentors Attending on-site technical and professional development classes Participating in sponsored community service events YOUR QUALIFICATIONS Bachelor’s Degree in Computer Science, Engineering (Computer, Systems, Electrical), Computer/Management Information Systems, or Math Proven, applied technology experience Academic excellence Strong analytical ability Proven leadership and interpersonal skills Strong communication skills ADDITIONAL QUALIFICATIONS Minimum final grade point average of 3.2 on a 4.0 scale Understanding of business concepts/strategy Relevant intern or co-op experience Multiple programming language skills Geographic mobility Team player Change orientation Demonstrated integrity WHY GENWORTH? We have a real impact on the lives of the people we serve We work on challenging and rewarding projects We give back to the communities where we live We offer competitive benefits including: Medical, Dental, Vision, Flexible Spending Account options beginning your first day 20 days of Choice Time Off your first full year 12 Paid Holidays 40 hours of volunteer time off 401K Account with matching contributions Tuition Reimbursement and Student Loan Repayment Paid Family Leave Child Care Subsidy Program COMPANY Genworth Financial, Inc. is a leading insurance holding company committed to helping families achieve the dream of home ownership and address the financial challenges of aging through its leadership positions in mortgage insurance and long-term care insurance.  Headquartered in Richmond, Virginia, Genworth traces its roots back to 1871. We know we can’t deliver on our mission unless we deliver for our employees. That’s why we’re committed to creating a work environment that fosters inclusion, camaraderie, rewarding work, community involvement, and a focus on our employees’ well-being. We know each employee contributes in their own unique way and we’re dedicated to supporting every one of them to help them reach their full potential.",Richmond,Virginia,"IT Development Program at Genworth
"
Business Talent Group,"We are Business Talent Group, a company that connects independent professionals with business and technical backgrounds to project-based work for our clients- both remote and onsite. We have served nearly 50% of the Fortune 100. We are launching a new large relationship with a F200 global client that expects to have numerous project needs with projects ranging from 6 weeks to 12+ months. We are looking for independent consultants with knowledge of technical and business skills. Project managers and backgrounds in any software lifecycle development a plus. Technology segments of interest include: Data visualization Digital supply chain CRM Data science RPA ERP & Finance HR & people software Procure to pay (P2P) Collaboration tools Process flow software Healthcare IT systems Database management Cloud development 1-10+ years of experience in specific technologies is preferred. Combination of business or project management and technical expertise is a plus. If you are interested and have such backgrounds, we would be delighted to have you join our talent network. Please note, there is no cost and no commitment involved . The only investment on your end is the 15 minutes it takes to complete your registration. Being a part of our network is simply another way for you to source and apply for projects. In your profile, you will be able to code for preferred preferences such as daily rate and location. Additionally, you may apply to some of our project postings through our talent portal. Please note: in order to join our network and be considered for projects, you certify that you are not employed in a permanent role. This does not include full-time contract roles or ownership of your own independent consulting practice To submit your application, please use this link . Note: This job posting is not for an internal staff position within Business Talent Group. Instead, it represents a need we receive from our clients on a fairly regular basis, and, if we felt your background was a fit, you would become a part of our Independent Consultant network to be contacted for relevant project opportunities that arise.",New York City,New York,"Technical Consultant - Digital Supply Chain, CRM, Procure2Pay, RPA, ERP & Finance, HR Software, etc. at Business Talent Group
"
Softrams LLC,"Full-Stack Developer WOODLAWN, MD / DEVELOPMENT – DEVELOPMENT / FULL-TIME Softrams, LLC is seeking Full Stack (MEAN) Developers with hands on experience in Angular (4-9), React or Vue for front-end and NodeJS for backend in building modern end to end web applications. The ideal candidate will have excellent hands-on experience with Angular (4-9), React or Vue, and isomorphic JS applications with React.JS , Flux or Redux. The ideal candidate will have a solid understanding of front-end design, prototyping and converting wireframes to responsive web interfaces with Bootstrap. The ideal candidate will have hands-on experience building high-performance server-side applications with Node eco-system. The ideal candidate believes and well conversant with various automated testing tools to validate the application and build tools. , above and NodeJS who will be part of a collaborative and agile team that supports and builds modern, standards-based responsive web application for mission-critical health IT solutions. Softrams is a Maryland & Virginia-based small business information technology, consulting, and solutions provider specializing in emerging technologies for UX/UI, Mobile Apps, DevOps, Big Data Analytics, Data Science, and Cyber Security. We offer innovative technology implementations and build customer-centric services that are simple, intuitive, scalable, efficient and most importantly usable. We at Softrams, believe in agile repeatable processes, modern technologies, intuitive user interfaces, simple solutions, user-centric services that work for our clients and their customers. We emphasize clean, high-quality coding, continuous integration & testing, and automated deployments in scalable hosting environments. We believe in “fail fast” and transparency in our work. Softrams is committed to delivering continuous business value to our clients. Preference will be given to candidates that are able to work out of our Woodlawn, MD, Leesburg, VA or Plano, TX locations. We are open to consider candidates who are based in other US states for 100% remote work opportunity. The ideal candidate: Ideal candidate is an Angular (4-9), React or Vue for front-end and NodeJS for backend in building modern end to end web applications. The ideal candidate will have a solid understanding of front-end design, prototyping and converting wireframes to responsive web interfaces with Bootstrap. The ideal candidate will have hands-on experience building high-performance server-side applications with Node eco-system. The ideal candidate believes and well conversant with various automated testing tools to validate the application and build tools. We are specifically looking for: Someone who is a great team player and genuinely believes in solving challenges as a team Someone who believes in exploring alternatives and quickly build prototyping to validate ideas and help iterate concepts Someone who understands and believes in the core tenets of agile both in letter and spirit Someone with 3 or more years of experience with developing modular, test first Angular 4+ applications, isomorphic JS applications with ReactJS, Flux or Redux or similar. Someone with 3 or more years of experience working with Postgres, MySQL or MongoDB. Someone with 3 or more years of solid hands-on experience building Node.JS applications. Someone with 3 or more years of hands-on experience in using modern build tool chains and package managers (webpack, gulp, grunt, npm etc.) Someone with experience testing tools and frameworks like Jasmine, Protractor or similar. Someone with experience developing modern responsive web applications with HTML5, CSS3, Bootstrap, LESS, SASS, etc. Someone with 3 or more years of experience working in agile environments with tools like Jira, Git, and Confluence. Candidates with proven certifications and socially available profiles that demonstrate the body of work and participation in modern collaboration hubs. Interested candidates can send their resumes directly to the recruiter at John.Balas@Skilalogy.com Softrams is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, nation origin, sexual orientation, gender identity, disability or protected veteran status. As a HUBZone certified business, we strongly encourage candidates who reside in a HUBZone area to apply . Click on the link here to check if you are in the HubZone area ( http://map.sba.gov/hubzone/maps/ ). ",Leesburg,Virginia,"Full Stack Developer at Softrams LLC
"
"HTC Global Services, Inc.","HTC – A brief profile Established in 1990, HTC Inc., a CMM Level 5 company with headquarters in Troy, Michigan, is a leading global Information Technology solution and BPO provider. HTC assists clients across multiple industry verticals, offering turnkey project lifecycle in, e-business, data warehousing, embedded systems, ECM, SCM, CRM, and ERP solutions. HTC Inc. offers ConnectIT, our Global Delivery Methodology that enables seamlessly delivery of outsourced IT services. HTC has global delivery centers across the globe.  About the Job We are currently looking for a Data Architect. We will consider relocation for candidates with exceptional skills.   Requirements:  Over 10 years of experience in designing, architecting data sets, data storage using MS SQL Server. Data architecture experience, required. Data modeling experience in a complex data environment using data modeling tools. Experience in Data Science, Machine Learning and AI. Experience of designing and delivering solutions using analytics services of Microsoft Azure including Azure Machine Learning Studio, Data Catalog, R/R Studio, Power BI. Migrating large volumes of data using standard Azure automation tools from on-premise and cloud infrastructure to Azure. Expert with at least one ETL and data modeling tool. Experience with Docker/ Kubernetes and Microservices and DevOps solutions. Knowledge of Big Data and Data Lake concepts and solutions. Distributed Systems, Databases, Data Lake, Data Processing, Microservices, API design, Containerization and Security. Experience with Data modeling in an Agile development environment.  Benefits: HTC’s competitive package includes besides compensation Health, Dental, Vision, Disability Cover, both Short and Long term, Life Insurance, Flexible Spending, 401k and Paid Vacation Candidates should e-mail their resumes to tennyson.regan@htcinc.com",Rancho Cordova,California,"Data Architect at HTC Global Services, Inc.
"
Sage Intacct,"Today, nearly every business in the world has to do bookkeeping and accounting in order to file taxes, understand financial health, and most importantly, make strategic business decisions. The process is universally manual, tedious, and error prone. At the same time, the process follows well-defined rules, abides by industry standardization, and has become increasingly data-rich. It’s a product-focused machine learning team’s dream. Sage Intacct Artificial Intelligence Labs “SAIL” is a nimble team within Sage Intacct building the future of cloud accounting by leveraging artificial intelligence. The SAIL team builds capabilities to help businesses make better decisions through data-powered insights. We are looking for a Principal Machine Learning Scientist in San Francisco to help us ship AI-powered products and services. As a part of our cross-functional team, including data scientists and engineers, you will help steer the direction of the entire company’s Artificial Intelligence / Machine Learning effort and you will also be a key individual contributor. Responsibilities:  Solving problems from ideation to production, using machine learning. Experimenting, training, tuning, and shipping machine learning models. Writing production-quality code. Exploratory data analyses and investigations. Working with product managers to translate product/business problems into tractable machine learning problems. Working with machine learning infrastructure engineers to ship models. Presenting findings, results, and performance metrics to team. Basic Qualifications:  MS in Computer Science, Electrical Engineering, Statistics, Physics, or similar quantitative field. Strong theoretical foundations in linear algebra, probability theory, optimization. Strong programming skills in Python. 4+ years of hands-on experience in working with numpy, scipy, scikit-learn, pandas. 4+ years industry experience shipping production machine learning models. Experience communicating projects to both technical and non-technical audiences. You know what these things are (in no particular order): logistic regression, gradient descent, regularization, cross-validation, overfitting, bias, variance, convex optimization, eigenvectors, relational databases, SQL, latency, computational complexity, sparse matrices. Preferred Qualifications: PhD in Computer Science, Electrical Engineering, Statistics, Physics, or similar quantitative fields. Publications in top conferences. Experience writing complex SQL queries. You have deep experience with these things: logistic regression, gradient descent, regularization, cross-validation, overfitting, bias, variance, convex optimization, eigenvectors, relational databases, SQL, latency, computational complexity, sparse matrices. You may be a fit for this role if you:  You’re comfortable with investigating open-ended problems and coming up with concrete approaches to solve them. You know when to use machine learning and when not to! You’re a deeply curious person. You can wrangle data like a pro alligator wrestler and come out relatively unscathed. You often think about applications of machine learning in your personal life. What it’s like to work here:  You will have an opportunity to work on a small and growing team based in San Francisco in an environment where engineering is central to what we do. The products we build are breaking new ground, and we have a focus on providing the best environment to allow you to do what you do best - solve problems, collaborate with your team and push first class software. We promote an open diverse environment, encourage contributions to open-source software and invest heavily in our staff. Our team is talented, capable and inclusive. We know that great things can only be done with great teams and look forward to building and working with a great people.",San Francisco,California,"Principal Machine Learning Scientist at Sage Intacct
"
Community Care Network Of Va,"At Cenevia, we eliminate operational burdens so our healthcare delivery champions can focus on providing high-quality and cost-effective health outcomes. Since 1996, Cenevia has been a trusted support system, training partner and business process expert for health providers, including Federally Qualified Health Centers (FQHC), private practices, hospitals, managed care organizations, and provider networks. Cenevia provides integrated, network-based services and programs to healthcare clients to help them run their businesses better so that they can focus on patient care. This includes the centralized practice management system, help desk, and support infrastructure that Cenevia established in 1999. The Cenevia staff includes experienced health care professionals from the following areas: ·Quality Improvement ·Health Information Technology ·Electronic Health Records Training ·Health Plan Contracting ·Credentialing and Enrollment (NCQA-certified) Job Summary: We are seeking an experienced Data Warehouse Architect with a strong data normalization background. This position will collaborate with a multidisciplinary team of health center staff, Cenevia staff, and external partners to collect, organize, and summarize complex data. The ideal candidate is able to extract the meaning from, interpret, and tell the story of data and why it matters. This position will bring analytical rigor and statistical methods to the challenges of measuring complex health care data stored in relational database systems. The Data Warehouse Architect will prepare a wide variety of ad hoc reports and analyses for internal and external customers for decision support purposes.  The candidate will also play a lead role in the creation of a Data Warehouse from the ground up. Core duties and responsibilities include the following. Other duties may be assigned: Essential Job Duties: Devise and utilize algorithms and models to mine big data stores, perform data and error analysis to clean, normalize and validate data for uniformity and accuracy. Analyze EMR data by defining data requirements, preparing data for processing by organizing information, checking for invalid and missing data, and adjusting and weighting the raw data. Process large amounts of data using statistical software and relational database software. Identify relationships and trends in data, as well as factors that may influence decision making. Design, produce, analyze, and debug routine data reports for internal and external customers. Report results of statistical analyses in the form of graphs, charts, tables, and written reports using statistical, spreadsheet and/or word processing software. Provide technical support to customers including answering questions, trouble-shooting problems and assisting in modification of program code. Develop documentation for all analyses to include storage documentation of all files (program code, data sets, output), thoroughly documenting program code and archiving data sets when not in use. Check program code for adherence to specifications and check output for correct results. Develop quantitative measures to assess program effectiveness (e.g., internal quality control measures.) Maintains completeness of the data warehouse by ensuring uninterrupted access to data from disparate data sources, to include establishing access to new sources of data. Design and Architect a Data Warehouse and necessary components on the Microsoft/Azure Platform. Design and development of Extract-Transform-Load (ETL) processes for data warehouses, gathering requirements, and designing databases. Ensure shared reports follow HIPAA compliant processes. Summarizing data and drafting reports. Performs miscellaneous job-related duties as requested. Required Qualifications: Bachelor’s degree in Computer Science, Software Engineering, Data Science or related field. A minimum of three years SQL programming experience required. Three to five years of work experience in database systems. Fluency in the following languages and technologies:  MS SQL, MYSQL, Azure, SSRS, SSIS, Data Factory and/or an ETL Engine. Experience in ACCESS, Power BI, Tableau, Cognos Based Reporting, Alteryx, R Studio. Experience with data normalization. Experience with development and maintenance of data warehouse sourcing disparate data sources, to ensure inclusion of up to date data. Ability to analyze, extract, and summarize complex health care data stored in relational database systems. Ability to work closely with internal and external teams, has a high team spirit, can do attitude. Strong written and verbal communication skills. Strong listening skills. Ability to communicate with non-technical staff and technical team. Flexible and adaptable in regard to learning and understanding new technologies. Strong written, oral, and interpersonal communication skills. Ability to conduct research into networking issues and products as required. Datasources dBMS. Ability to present ideas in user-friendly language. Highly self-motivated and directed. Excellent research, analysis, and problem-solving skills. Experience working with healthcare data. Extensive knowledge of relational database theory. Experience with data modeling and architecture. Preferred Skills: Experience working with Federally Qualified Health Centers (FQHCs) preferred. Applied experience with AI/machine learning on large datasets. Experience articulating business questions and using mathematical techniques to arrive at an answer using available data. Ability to manage and assure successful completion of projects. Familiarity with FHIR API Technology. COMPETENCIES: To perform the job successfully, an individual should demonstrate the following competencies:   Oral Communication - Speaks clearly and persuasively in positive or negative situations; listens and gets clarification; responds well to questions; demonstrates group presentation skills; participates in meetings. Written Communication - Writes clearly and informatively; edits work for spelling and grammar; varies writing style to meet needs; presents numerical data effectively; able to read and interpret written information. Ethics - Treats people with respect; keeps commitments; inspires the trust of others; works with integrity and ethically; promotes a racially just work environment; upholds organizational values. Professionalism - Approaches others in a tactful manner; Reacts well under pressure; Treats others with respect and consideration regardless of their status or position; Accepts responsibility for own actions; Follows through on commitments. PHYSICAL DEMANDS: The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. While performing the duties of this job, the employee is regularly required to sit; use hands to finger, handle, or feel; reach with hands and arms and talk or hear. The employee is occasionally required to stand and walk. The employee must occasionally lift and/or move up to 10 pounds. Specific vision abilities required by this job include close vision, distance vision, color vision, peripheral vision, depth perception and ability to adjust focus. WORK ENVIRONMENT: The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. The noise level in the work environment is usually moderate. The position is remote and employee must have suitable and secure technology to be eligible for consideration – e.g., secure WiFi, telephone, dedicated workspace. Additionally, employee is required to participate and be seen in meetings via video conference as part of this role. PI123831963",Richmond,Virginia,"Data Warehouse Architect at Community Care Network Of Va
"
Freddie Mac,"Position Overview: Our Impact: Your Impact: Provision monthly sourcing market share results and provide results to SF division Provision monthly FHFA Gfee report and ad-hoc data requests for Gfee congressional annual report plus regulator policy considerations Collect data, transform per rules and build streamlined processes for financial reporting of baseline Analytical capability to identify drivers to financial results Develop performance metrics utilizing sophisticated data mining skills Develop into a subject matter expert on internal corporate models and partner with modelling and Financial Engineering teams in model development and system build work collaboratively within a transparent group that value accountability, learning and synergy Understand and acquire strong business knowledge of SF sourcing, pricing, credit risk transfer and portfolio management Qualifications: College degree Math/Physics, Statistics, Economics/Financial Engineering, Data science, or a directly related quantitative field with at least 5-7 years of related work experience. Advanced studies/degree preferred. Strong analytical logic thinking and problem-solving skills Demonstrate experience with relational database structures, research methods, sampling techniques, and system testing. Proficient in working with large-scale business data sets, fluent in scripting and rapid prototyping skills including expertise in technology such as SAS, SQL, Python, Tableau, and/or BI tools such as Hyperion and MicroStrategy Works under limited direction Independently determines and develops approach to solutions Strong work ethics and learning capability Demonstrated business acumen, intellectual maturity, and relationship management skills Keys to Success in this Role: Intellectual agility and interpersonal flexibility Deep curiosity to learn about new subjects Strong technical skills and propensity to grasp the new analytical tools that provides business insights Ability to work with and collaborate across the teams and where silos exist Detail oriented and reliable in execution on regular basis. Current Freddie Mac employees please apply through the internal career site.",McLean,Virginia,"Financial Data Analytics Senior at Freddie Mac
"
CyberCoders,"Job Title: Data Scientist Location: 100% REMOTE  Desired Skills: Statistics, Healthcare, Machine Learning, SAS/R/Python  We are searching for a Lead Data Scientist with Healthcare, SAS and Machine Learning experience to add to our growing team.  We are one of the leading companies in our industry and we need someone to work with data-sets of varying degrees of size and complexity including both structured and unstructured data.  Are you looking to make an impact on a growing team for an industry leading company? Please apply today!  If you are a Data Scientist with experience in the healthcare industry or have experience with EMR claims, please read on! What You Will Be Doing - You will be coding and doing data analysis within the healthcare industry. This includes predictive analytics, risk analytics, and data modeling. - Rapidly prototype features and predictive models. - Contribute to building of ML pipelines in production. - Identify, research, and analyze new data sources to improve model accuracy. What You Need for this Position MUST HAVE: - Masters in Statistics or in a related field - 5+ years of Data Analysis/Data science experience - 3+ years of experience analyzing healthcare data and EMR Claims Data - Expert SAS programming skills - Machine Learning, NLP, or Predictive modeling - Knowledge of R and Python So, if you are a 100% REMOTE Data Scientist with experience, please apply today!",New York,New York,"100% REMOTE Data Scientist at CyberCoders
"
Clinical Management Consultants,"An excellent opportunity is now available for a Hospital Chief Data Officer in a 400 bed Southern Texas Gulf Coast Medical Center. The Chief Data Officer will report to the Chief Executive Officer, and will be responsible for overseeing all leadership in data analytics, data science and data driven organizational leadership. The Chief Data Officer will be responsible to for a range of data related functions that include data management, ensuring data quality and creating data strategy. The CDO will be responsible for Data Analytics and business intelligence, the process of drawing value insights from data. The Chief Data Officer will be responsible for strategic data priorities of the department, and will identify new organization opportunities based on existent and emergent data. The Chief Data Officer will be responsible for regulating how the organization captures, maintains and presents data and information on an organization level in order to measure performance. The ideal Chief Data Officer will have experience in some form of healthcare, and will understand medical terms, billing and reimbursement. Located in Texas’s Gulf Coast the Trauma Nurse Manager will live in a naturally beautiful area with a variety outdoor actives just a stone’s throw away. The region is home to a thriving economy, excellent public schools, well regarded universities and a vibrant downtown. The Medical Center is part of a large and stable healthcare organization with numerous facilities throughout the region, and is prepared to offer a generous salary and comprehensive benefitpackage; including sign on bonus, annual bonus and relocation assistance. monsterboost5000",Mcallen,Texas,"Chief Data Officer at Clinical Management Consultants
"
Freedom Financial,"Freedom’s mission is to empower everyday Americans to move forward towards a better financial future.  The company was founded in 2002 by Brad Stroh and Andrew Housser on the belief that by staying committed to helping people, you can ensure better financial outcomes for both the customer and the business. This philosophy still guides the vision of our growing company, which has helped millions of people find solutions for their financial needs. What began with two people in a spare bedroom has expanded to a vibrant business that employs over 2000 employees (known internally as “The Freedom Family”) in two locations: San Mateo, CA and Tempe, AZ. When you visit either of our offices, you’ll understand why our employees have voted us the Best Place to Work for the last several years. We believe that success is only achieved by doing what’s right for our customers, our employees, and our communities. Freedom Financial Network holds itself to four core values: to care for everyone around us, act with integrity every time, collaborate with everybody we work with, and get better at what we do every day.  The opportunity We are looking for a talented, data-driven and motivated offline marketing lead to join our team. You will own end to end strategy and implementation of cutting-edge campaigns across our offline channels (TV and Radio) and drive meaningful revenue for the company. You are highly systematic, take a user first approach and will have an active voice in developing the creative, building advanced attribution models, and designing optimization programs to deliver the best results for your campaigns.   The right candidate will have deep expertise in scaling video and audio programs and a passion for the art and the science of offline. A self-starter who thrives in a highly entrepreneurial, dynamic and collaborative environment and has a passion for performance marketing.  Your responsibilities and focus area: Own and execute a diverse offline strategy spanning across TV, Radio and podcasts Scale the portfolio to mid 7 figure monthly spend and deliver on an ambitious growth plan Manage the external agency partners to deploy the channel best practices and drive data driven optimization across audiences, placements, creative, landing page, etc. Provide leadership on creative and content experiences that drive conversions Work hand in hand with data science and analytics team to deploy cutting edge solutions for measurement, incrementality and attribution models Own and grow the channel P&L, be responsible for quarterly plans, QBRs  About you: You are strategic, have a bias towards action and are a self-starter. You identify and prioritize critical initiatives and can lead the charge from initiative to execution A process leader, you can work with people and technology to drive efficiency and collaboration A systems thinker at heart, you love solving complex problems You are data driven, adept at mining data for hidden insights and drive curiosity around the “why” behind the “what”   Qualifications: 8+ years’ experience in managing user acquisition/growth campaigns At least 5 years as a DR marketer for offline media (TV, Radio, Podcasts), with proven track record of revenue ownership Expertise and a genuine passion for video and audio-based advertising You understand the value of a compelling story and can own and guide the creative production and testing process Experience in developing advanced attribution models (MMM/MTA, etc.) to effectively manage performance across the funnel You are data driven and are hands on with analysis on channel performance, identify optimization opportunities and use data to inform business decisions. Proficient with tools - advanced excel, Google Analytics, Tableau, etc. You are highly strategic and can own a systemic process to optimize the entire funnel, ranging from creative to product experience Experience in financial services industry is a plus Prior team management experience is a plus  WHY JOIN THE FREEDOM FAMILY? We push the envelope every day. Be an active part of a dynamic team that is at the cutting edge of modern-day performance marketing. Work alongside high-energy (and fun!), results-driven teammates with strong work ethic Have the best of both worlds be part of a high-growth entrepreneurial culture that has sufficient resources to invest in doing the right things. Have a direct impact on the community. The work you do will enable thousands of Americans to have a path to sustainable financial freedom. Voted a Best Place to Work multiple times by our employees, most recently #1 in Phoenix for the 2nd year in a row! ",San Mateo,California,"Sr. Marketing Manager - Offline at Freedom Financial
"
Horizontal,"Description:  The Sr. Manager, Decision Analytics will assist in managing day-to-day results reporting and visualization for major corporate initiatives, while provide recommendations and actionable insights through analysis of data.  The individual will need to effectively articulate data and reporting results to internal stakeholders including, but not limited to, marketing, member engagement, and leadership.  Excels at telling a story with data and influencing leadership to adopt new ideas, products, and/or approaches.  Will manage a team that creates meaningful visualizations that translate complex concepts across multiple data sources to be understood by a variety of audiences. Assists in predicting emerging customer needs and develops innovative solutions to meet them.  This individual also will need to have strong communication skills and ability to manage a multitude of projects at once.  Top Responsibilities:   Develop and implement effective/strategic business solutions through systematic data engineering and research  Evaluate and present information in a manner that will facilitate management's understanding of the results and impacts  Managing relationships with key business partners of key dashboards across Marketing  Lead a diverse global team who builds and maintains dashboards for major corporate initiatives  Analyze, review, forecast, and trend complex data  Develop, implement, enhance, maintain Business Intelligence reporting and dashboards  Competencies :  Self-motivated professional who can manage offshore teammates effectively  Strong data engineering and/or data visualization acumen  Effective interpersonal influence and collaboration skills with internal stakeholders  Strong communication skills and experience working across many levels of an organization  Demonstrated ability to effectively gather requirements, probe for deeper understanding, and translate deep technical concepts to non-technical as well as technical senior stakeholders, marketing customers, and data scientists.  Required Qualifications:  Bachelor degree in Business, Mathematics, Statistics, Economics or similar field  5+ years of experience utilizing SQL and/or data exploration tools (such as SAS or R)  5+ years of experience performing data analytics  2+ years of management experience of either onshore or offshore analysts  2+ years experience with Tableau or other BI tools like Power BI, DOMO, Qlikview, etc.  Proficient user skills in Excel, Word, and PowerPoint  •Demonstrated ability to prioritize deliverables  Proven organizational skills with ability to be flexible and work with ambiguity  Preferred Qualifications:  Experience using Python, Hive and/or R  Healthcare industry experience, specifically Medicare and Retirement  Master’s Degree ",Minnetonka,Minnesota,"Sr. Manager, Business Intelligence & Member Analytics at Horizontal
"
Boeing,"The Boeing Enterprise Insider Threat Program is seeking a highly-skilled, Software Engineer to join its industry-leading group located in Annapolis Junction , MD . The candidate will work closely with a skilled team of analysts, data scientists, and other software engineers to integrate complex, disparate data into The Boeing Company’s Insider Threat software system. The Software Engineer will design, develop, test, document, deploy, and maintain the architecture, requirements, algorithms, interfaces, and designs for the Insider Threat software system to support the mission of The Boeing Company’s Insider Threat Program: to identify, detect, assess, investigate, manage, and mitigate potential insider threats. Help create the ground station of the future for unmanned vehicles! Position Responsibilities: Leads activities to develop, document and maintain architectures, requirements, algorithms, interfaces and designs for software systems Leads development of code and integration of complex software components into a fully functional software system Develops software verification plans, test procedures and test environments, executing the test procedures and documenting test results to ensure software system requirements are met Provides technical leadership for software projects Leads development, selection, tailoring and deployment of processes, tools and metrics Plans, executes and documents software research and development projects Serves as a subject matter expert for software domains, system-specific issues, processes and regulations Tracks and evaluates software team and supplier performance to ensure product and process conformance to project plans and industry standards Coordinates the collection, storage, processing, shaping, and delivering a large and disparate dataset over a distributed network. Collects, organizes, synthesizes, and analyzes data; summarizes findings; develops conclusions and recommendations from appropriate data sources Analyzes problems (troubleshooting, fault isolation, repair, modification, or redesign) of assigned end items to support the design, development and modification of company products using knowledge of engineering disciplines This position requires an active Top Secret U.S. Security Clearance. (A U.S. Security Clearance that has been active in the past 24 months is considered active.) **This position is contingent upon clearance verification and program / customer concurrence.** Basic Qualifications ( Required Skills / Experience ): Current / Active Top Secret U.S. Security Clearance Bachelor’s of Science degree or higher Ability to communicate, advise, and collaborate clearly, concisely, and consistently with team members, partners, customers, and business stakeholders Experience with all phases of the Software Development Lifecycle (SDLC) Experience with object-oriented programming (OOP) Experience with Ruby, JRuby, Java, and SQL programming languages and BASH scripting Preferred Qualifications ( Desired Skills / Experience ): Independent self-starters Detail-oriented Experience working in geographically dispersed teams Typical Education / Experience : Education/experience typically acquired through advanced technical education from an accredited course of study in engineering, computer science, mathematics, physics or chemistry (e.g. Bachelor) and typically 9 or more years' related work experience or an equivalent combination of technical education and experience (e.g. PhD+4 years' related work experience, Master+7 years' related work experience). In the USA, ABET accreditation is the preferred, although not required, accreditation standard. Relocation : Relocation assistance is not a negotiable benefit for this position. Candidates must live in the immediate area or relocate at their own expense. Drug Free Workplace Boeing is a Drug Free Workplace where post offer applicants and employees are subject to testing for marijuana, cocaine, opioids, amphetamines, PCP, and alcohol when criteria is met as outlined in our policies.",Fulton,Maryland,"Software Engineer at Boeing
"
